id,type,registrationTime,releaseTime,local,title,topic,isActive,start,end,phase.id,phase.label,impact.value,expectedDuration.description,expectedDuration.endTime,period,summaryAdditionalTravelTime.minimumDurationInMinutes,summaryAdditionalTravelTime.maximumDurationInMinutes,sectionType,section.direction,consequence.section.direction,consequence.description,consequence.level,uicCode,stationCode,name,countryCode,coordinate.lat,coordinate.lng
6027192,DISRUPTION,2023-11-25T15:40:10+0100,2023-11-25T15:40:10+0100,False,Heerlen-Maastricht; Heerlen-Aachen Hbf,disruption_6027192_nl,True,2023-11-25T15:29:04+0100,2023-11-26T23:45:00+0100,2,Impact bekend,2.0,Dit duurt ten minste tot zondag 26 november 23:45 uur.,2023-11-26T23:45:00+0100,,,,NL,BOTH,ONE_WAY,minder treinen,LESS_TRAINS,8400307,HRL,Heerlen,NL,50.8908348083496,5.97499990463257
6027193,DISRUPTION,2023-11-25T18:22:52+0100,2023-11-25T18:22:52+0100,False,Hengelo-Oldenzaal,disruption_6027193_nl,True,2023-11-25T16:17:08+0100,2023-11-25T22:00:00+0100,3,Vervangend vervoer,1.0,Dit duurt tot ongeveer 22:00 uur.,2023-11-25T22:00:00+0100,,,,NEIGHBORING_COUNTRY,BOTH,ONE_WAY,minder treinen,LESS_TRAINS,8400404,HRLW,Heerlen Woonboulevard,NL,50.896667,5.952222
6027194,DISRUPTION,2023-11-25T20:11:44+0100,2023-11-25T20:11:44+0100,False,'s-Hertogenbosch-Eindhoven,disruption_6027194_nl,True,2023-11-25T18:55:13+0100,2023-11-25T22:30:00+0100,1b,Gevolgen bekend,2.0,Dit duurt tot ongeveer 22:30 uur.,2023-11-25T22:30:00+0100,,,,NL,BOTH,ONE_WAY,minder treinen,LESS_TRAINS,8400656,VDL,Voerendaal,NL,50.8872222900391,5.93027782440186
7004120,MAINTENANCE,2023-11-03T11:56:03+0100,2023-11-03T11:56:03+0100,False,Schiphol Airport.,,True,2023-11-12T04:00:00+0100,2023-12-04T02:00:00+0100,,,2.0,,,Zondag 12-11-2023 04:00 uur t/m maandag 04-12-2023 02:00 uur.,15.0,15.0,NL,BOTH,ONE_WAY,geen Sprinters,LESS_TRAINS,8400362,KMR,Klimmen-Ransdaal,NL,50.8663902282715,5.8905553817749
7004222,MAINTENANCE,2023-11-17T20:59:20+0100,2023-11-17T20:59:20+0100,False,Utrecht - Spoorwegmuseum.,,True,2023-11-18T08:00:00+0100,2023-12-09T18:00:00+0100,,,3.0,,,Zaterdag 18-11-2023 08:00 uur t/m zaterdag 09-12-2023 18:00 uur.,,,NL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400555,SOG,Schin op Geul,NL,50.856388092041,5.87222242355347
7004221,MAINTENANCE,2023-11-16T14:49:31+0100,2023-11-16T14:49:31+0100,False,Deventer - Almelo.,,True,2023-11-22T08:30:00+0100,2023-12-08T17:00:00+0100,,,2.0,,,Woensdag 22-11-2023 08:30 uur t/m vrijdag 08-12-2023 17:00 uur.,,,NL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400632,VK,Valkenburg,NL,50.8697204589844,5.83222198486328
7004069,MAINTENANCE,2023-10-30T10:09:33+0100,2023-10-30T10:09:33+0100,False,Roosendaal - Vlissingen.,,True,2023-11-24T04:00:00+0100,2023-11-27T02:00:00+0100,,,4.0,,,Vrijdag 24-11-2023 04:00 uur t/m maandag 27-11-2023 02:00 uur.,15.0,15.0,NL,BOTH,ONE_WAY,geen treinen,LESS_TRAINS,8400341,SGL,Houthem-St. Gerlach,NL,50.8733329772949,5.79722213745117
7004109,MAINTENANCE,2023-10-30T09:33:51+0100,2023-10-30T09:33:51+0100,False,Arnhem - Duisburg - Düsseldorf.,,True,2023-11-24T21:00:00+0100,2023-12-03T23:59:00+0100,,,4.0,,,Vrijdag 24-11-2023 21:00 uur t/m zondag 03-12-2023 23:59 uur.,,30.0,NL,ONE_WAY,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400434,MES,Meerssen,NL,50.882879392551,5.75099945068359
7004104,MAINTENANCE,2023-11-14T09:23:09+0100,2023-11-14T09:23:09+0100,False,Rotterdam Centraal.,,True,2023-11-25T00:30:00+0100,2023-11-27T05:00:00+0100,,,5.0,,,Zaterdag 25-11-2023 00:30 uur t/m maandag 27-11-2023 05:00 uur.,30.0,45.0,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400449,MTN,Maastricht Noord,NL,50.87087,5.71774
7004164,MAINTENANCE,2023-10-27T14:09:21+0200,2023-10-27T14:09:21+0200,False,Utrecht - Rhenen; Utrecht - Nijmegen.,,True,2023-11-25T01:30:00+0100,2023-11-26T17:35:00+0100,,,3.0,,,Zaterdag 25-11-2023 01:30 uur t/m zondag 26-11-2023 17:35 uur.,30.0,30.0,NEIGHBORING_COUNTRY,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400424,MT,Maastricht,NL,50.8502769470215,5.70555543899536
