UICCode,stationType,EVACode,code,cdCode,sporen,synoniemen,heeftFaciliteiten,heeftVertrektijden,heeftReisassistentie,land,lat,lng,radius,naderenRadius,ingangsDatum,namen.lang,namen.middel,namen.kort,nearbyMeLocationId.value,nearbyMeLocationId.type
8400301,FACULTATIEF_STATION,8400020,HRY,301,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",['It Hearrenfean IIsstadium'],True,False,True,NL,52.9352760314941,5.94388866424561,200,1200,2001-06-10,Heerenveen IJsstadion,IJsstadion,IJsstadion,HRY,stationV2
8400534,FACULTATIEF_STATION,8400015,RTST,534,"[{'spoorNummer': '3a'}, {'spoorNummer': '3b'}, {'spoorNummer': '4a'}, {'spoorNummer': '4b'}]",[],True,False,True,NL,51.8938903808594,4.51972198486328,200,1200,2007-12-09,Rotterdam Stadion,R'dam Stadion,R'dam Sta,RTST,stationV2
8400058,MEGA_STATION,8400058,ASD,58,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '2a'}, {'spoorNummer': '2b'}, {'spoorNummer': '4'}, {'spoorNummer': '4a'}, {'spoorNummer': '4b'}, {'spoorNummer': '5'}, {'spoorNummer': '5a'}, {'spoorNummer': '5b'}, {'spoorNummer': '7'}, {'spoorNummer': '7a'}, {'spoorNummer': '7b'}, {'spoorNummer': '8'}, {'spoorNummer': '8a'}, {'spoorNummer': '8b'}, {'spoorNummer': '10'}, {'spoorNummer': '10a'}, {'spoorNummer': '10b'}, {'spoorNummer': '11'}, {'spoorNummer': '11a'}, {'spoorNummer': '11b'}, {'spoorNummer': '13'}, {'spoorNummer': '13a'}, {'spoorNummer': '13b'}, {'spoorNummer': '14'}, {'spoorNummer': '14a'}, {'spoorNummer': '14b'}, {'spoorNummer': '15'}, {'spoorNummer': '15a'}, {'spoorNummer': '15b'}]","['Amsterdam CS', 'Amsterdam']",True,True,True,NL,52.3788871765137,4.90027761459351,525,1200,2017-02-01,Amsterdam Centraal,Amsterdam C.,Amsterdm C,ASD,stationV2
8400282,MEGA_STATION,8400282,GVC,282,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '5'}, {'spoorNummer': '6'}, {'spoorNummer': '7'}, {'spoorNummer': '8'}, {'spoorNummer': '9'}, {'spoorNummer': '10'}]","['Den Haag CS', 'Den Haag', ""'s-Gravenhage""]",True,True,True,NL,52.0802764892578,4.32499980926514,525,1600,2015-04-15,Den Haag Centraal,Den Haag C.,Den Haag C,GVC,stationV2
8400206,MEGA_STATION,8400206,EHV,206,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '5'}, {'spoorNummer': '6'}]","['Eindhoven', 'Eindhoven CS']",True,True,True,NL,51.4433326721191,5.48138904571533,525,1200,2019-12-15,Eindhoven Centraal,Eindhoven C.,Eindhovn C,EHV,stationV2
8400530,MEGA_STATION,8400530,RTD,530,"[{'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '6'}, {'spoorNummer': '7'}, {'spoorNummer': '8'}, {'spoorNummer': '9'}, {'spoorNummer': '11'}, {'spoorNummer': '12'}, {'spoorNummer': '13'}, {'spoorNummer': '14'}, {'spoorNummer': '15'}, {'spoorNummer': '16'}]","['Rotterdam CS', 'Rotterdam']",True,True,True,NL,51.9249992370605,4.46888875961304,525,1000,2017-02-01,Rotterdam Centraal,Rotterdam C.,Rotterdm C,RTD,stationV2
8400561,MEGA_STATION,8400561,SHL,561,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '5'}, {'spoorNummer': '6'}]",['Amsterdam Airport'],True,True,True,NL,52.3094444274902,4.76194429397583,2800,3200,2017-02-01,Schiphol Airport,Schiphol Airport,Schiphol,SHL,stationV2
8400621,MEGA_STATION,8400621,UT,621,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '5'}, {'spoorNummer': '7'}, {'spoorNummer': '8'}, {'spoorNummer': '9'}, {'spoorNummer': '11'}, {'spoorNummer': '12'}, {'spoorNummer': '14'}, {'spoorNummer': '15'}, {'spoorNummer': '18'}, {'spoorNummer': '19'}, {'spoorNummer': '20'}, {'spoorNummer': '21'}]","['Utrecht CS', 'Utrecht']",True,True,True,NL,52.0888900756836,5.11027765274048,525,1550,2022-01-06,Utrecht Centraal,Utrecht C.,Utrecht C,UT,stationV2
8400319,KNOOPPUNT_INTERCITY_STATION,8400319,HT,319,"[{'spoorNummer': '1'}, {'spoorNummer': '3'}, {'spoorNummer': '3a'}, {'spoorNummer': '3b'}, {'spoorNummer': '4'}, {'spoorNummer': '4a'}, {'spoorNummer': '4b'}, {'spoorNummer': '6'}, {'spoorNummer': '6a'}, {'spoorNummer': '6b'}, {'spoorNummer': '7'}, {'spoorNummer': '7a'}, {'spoorNummer': '7b'}]","['Den Bosch', ""Hertogenbosch ('s)""]",True,True,True,NL,51.69048,5.29362,525,1200,2015-03-18,'s-Hertogenbosch,'s-Hertogenbosch,Den Bosch,HT,stationV2
8400050,KNOOPPUNT_INTERCITY_STATION,8400050,AMR,50,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '5'}]",[],True,True,True,NL,52.6377792358398,4.73972225189209,525,1200,2003-07-01,Alkmaar,Alkmaar,Alkmaar,AMR,stationV2
